no,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9
0,219.08,243.89,194.58,171.1,193.48,73.73,142.6,124.83,109.65,85.71
1,254.0,128.65,125.63,152.23,144.58,254.05,85.72,122.78,131.47,117.89
2,676.23,97.95,210.56,169.88,90.26,151.98,127.52,88.99,103.64,91.36
3,168.84,206.93,156.18,135.55,122.89,110.24,99.31,88.28,76.1,60.41
4,156.74,148.52,139.78,127.74,117.81,101.14,84.46,75.36,68.22,58.2
