no,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9
0,190.38,183.66,187.17,179.62,302.39,66.44,25.73,8.37,8.24,6.48
1,172.24,192.88,208.4,455.22,84.53,132.63,138.24,56.39,16.13,8.41
2,378.47,187.11,116.69,233.12,124.33,88.76,49.4,12.62,9.63,7.09
3,252.53,151.75,217.41,253.3,78.58,86.66,36.33,21.49,194.15,6.2
4,181.08,223.66,169.38,136.85,527.46,86.91,42.39,14.47,19.81,15.63
