no,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9
0,21.21,34.33,49.64,60.94,75.28,97.66,108.49,124.83,150.93,190.73
1,26.95,50.52,70.93,91.88,111.69,118.94,139.24,164.25,203.47,1152.66
2,25.96,19.25,21.11,23.58,51.38,66.61,82.8,91.79,212.76,116.77
3,335.99,41.4,67.94,88.18,84.68,125.58,133.23,147.18,177.76,194.93
4,21.8,35.48,52.69,68.51,86.71,109.74,396.72,103.97,160.54,173.65
