no,distance0,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9
0,10.55,13.68,13.64,27.08,93.34,163.4,271.25,96.51,438.76,340.08
1,27.79,696.51,27.23,25.31,40.88,103.48,150.45,190.71,956.1,662.54
2,28.25,24.96,25.2,39.63,101.28,147.74,197.11,91.86,89.57,1206.55
3,149.22,14.77,14.96,35.08,87.42,140.31,190.07,219.23,850.25,226.38
4,16.18,14.12,14.65,14.96,19.29,105.24,112.83,252.98,440.88,241.21
